file_id,search_term,score
HepG2,HepG2,0.1885263349531161
MCF-7,HepG2,0.721819646611471
SK-N-SH,HepG2,0.7843786159689292
K562,HepG2,0.7780829472221218
HepG2,HepG2,0.15784079800004486
HEK293,HepG2,0.6597885493223541
K562,HepG2,0.896293532173702
HepG2,HepG2,0.30087109880325735
HepG2,HepG2,0.16350165037616013
HepG2,HepG2,0.1861126855506012
HepG2,HepG2,0.18242785164855582
H1,HepG2,0.42643096639226463
GM12878,HepG2,0.7323716243501821
HepG2,HepG2,0.19071262818965354
MCF-7,HepG2,0.6070351868460975
GM12878,HepG2,0.7570005404958571
MCF-7,HepG2,0.6945365264478149
K562,HepG2,0.7899119306397111
GM12878,HepG2,1.0000000000000002
HepG2,HepG2,0.21557411489630213
HepG2,HepG2,0.31714185900009917
K562,HepG2,0.7240658019776838
HepG2,HepG2,0.2614113901545831
HEK293,HepG2,0.7393454683880909
H1,HepG2,0.6830850012292
K562,HepG2,0.686197704864981
HeLa-S3,HepG2,0.5663600868814969
HeLa-S3,HepG2,0.620421009022674
HepG2,HepG2,0.13220600708743876
HepG2,HepG2,0.12650466712205202
liver,HepG2,0.2910096056265795
K562,HepG2,0.8077879230376286
MCF-7,HepG2,0.7060450686751683
HEK293,HepG2,0.7549811589074871
HepG2,HepG2,0.306312162785214
HepG2,HepG2,0.19680878727932732
GM12878,HepG2,0.710342723009789
K562,HepG2,0.7943368912750655
GM12878,HepG2,0.740193466801075
K562,HepG2,0.7894681841209195
HEK293,HepG2,0.734218886352074
MCF-7,HepG2,0.7370914278312641
K562,HepG2,0.7047671708523275
HepG2,HepG2,0.22136716992053052
K562,HepG2,0.6489627632857797
HepG2,HepG2,0.3058474461165925
liver,HepG2,0.6372600503667003
K562,HepG2,0.7868529219561553
MCF-7,HEK293,0.5764443331920126
K562,HEK293,0.6885660611843429
GM12878,HEK293,0.5533671805184137
GM12878,HEK293,0.6744348518601098
K562,HEK293,0.8153342951397051
HEK293,HEK293,0.2166713221957263
K562,HEK293,0.7413429015195376
GM12878,HEK293,0.7080233007432986
HEK293,HEK293,0.1958209981234678
GM12878,HEK293,0.5844768270107548
GM12878,HEK293,0.736487849771871
HEK293,HEK293,0.258312052704215
HEK293,HEK293,0.16396718383635786
K562,HEK293,0.4909386758374888
K562,HEK293,0.5603051006580848
K562,HEK293,0.48234360785633984
GM12878,HEK293,0.6713154221730011
HepG2,HEK293,0.678640439877022
GM12878,HEK293,0.8458966653628002
HEK293,HEK293,0.37893781570880986
GM12878,HEK293,0.5822686999067495
HEK293,HEK293,0.24104118907556943
MCF-7,HEK293,0.6980009068681825
HEK293,HEK293,0.28521543137902317
GM12878,HEK293,0.5207283922010704
HeLa-S3,HEK293,0.5429320668214013
HepG2,HEK293,0.7127428633682154
HeLa-S3,HEK293,0.5418766071806838
HEK293,HEK293,0.31072147778906334
HepG2,HEK293,0.6766507701967754
K562,HEK293,0.597635735736374
K562,HEK293,0.6822471877082805
K562,HEK293,0.6548767786315315
SK-N-SH,HEK293,0.6804770039797994
HEK293,HEK293,0.10858012017408239
MCF-7,HEK293,0.5684607730488929
SK-N-SH,HEK293,0.8753465731627468
H1,HEK293,0.7000135649075925
HepG2,HEK293,0.6454849699685279
HEK293,HEK293,0.3031558949412108
HEK293,HEK293,0.31193421577959474
H1,HEK293,0.5970268188599936
HepG2,HEK293,0.6879596822837251
HepG2,HEK293,0.6940165268748211
MCF-7,HEK293,0.7469379536943375
GM12878,HEK293,0.8215935609044813
K562,HEK293,0.4290597469711504
K562,HEK293,0.5681972089184644
liver,HEK293,0.6598548922038721
K562,HEK293,0.590433785965848
K562,HEK293,0.6055982244968132
HEK293,HEK293,0.24660645556741145
A549,HEK293,0.6030048002133521
K562,HEK293,0.45640778872696697
HEK293,HEK293,0.20166749715514148
MCF-7,HEK293,0.569892779006288
K562,HEK293,0.5572864305068761
HepG2,HEK293,0.6714938948758076
K562,HEK293,0.5292398469868849
MCF-7,HEK293,0.7453738812655211
HEK293,HEK293,0.21677812752622425
K562,HEK293,0.58226567463397
K562,HEK293,0.8602277333704746
HepG2,HEK293,0.6702638533635599
K562,HEK293,0.676457446684849
MCF-7,HEK293,0.7186346024119235
HEK293,HEK293,0.33176014110446045
GM12878,HEK293,0.7524155894139246
H1,HEK293,0.7415278412426258
A549,HEK293,0.5924194628285948
HEK293,HEK293,0.31284627131029885
K562,HEK293,0.5716549188229896
HEK293,HEK293,0.17530513784569693
K562,HEK293,0.40502660831364445
HepG2,HEK293,0.6680280785309107
K562,HEK293,0.623131938667755
K562,HEK293,0.48900728154833045
K562,HEK293,0.7449048849431608
H1,HEK293,0.6747603257495465
SK-N-SH,HEK293,0.6847379928719699
K562,HEK293,0.5798598258337673
HepG2,HEK293,0.7028161750266868
HepG2,HEK293,0.6028579576076565
K562,HEK293,0.4980859699478792
GM12878,HEK293,0.6394571274438337
SK-N-SH,HEK293,0.7798798366178457
HepG2,HEK293,0.678826327983024
MCF-7,HEK293,0.617007767175288
K562,HEK293,0.680517655413766
HEK293,HEK293,0.17546636338370186
K562,HEK293,0.4421916755903305
K562,HEK293,0.6047693955297779
HeLa-S3,HEK293,0.6131257352575272
GM12878,HEK293,0.6187095187049001
K562,HEK293,0.5443566745299171
A549,HEK293,0.6004657125023658
HepG2,HEK293,0.5253336759014029
K562,HEK293,0.8490396418201656
HepG2,HEK293,0.7043298461558125
MCF-7,HEK293,0.6729404919405093
GM12878,HEK293,0.6207466105919428
MCF-7,HEK293,0.6390522822305258
MCF-7,HEK293,0.6409948224211444
K562,HEK293,0.5088819534634805
liver,HEK293,0.6651519872334377
HEK293,HEK293,0.2965941298341299
GM12878,HEK293,0.7295263509577685
K562,HEK293,0.5887342818193693
K562,HEK293,0.6982619760148381
HepG2,HEK293,0.715487346234599
K562,HEK293,0.5685207585390084
K562,HEK293,0.6125292922954415
HepG2,HEK293,0.6925186964722598
MCF-7,HEK293,0.6427308076101796
SK-N-SH,HEK293,0.7573166019834792
K562,HEK293,0.5562480659213722
HepG2,HEK293,0.6592320699250716
HEK293,HEK293,0.19036885377503343
K562,HEK293,0.5692010319827676
HepG2,HEK293,0.6458395480266421
HepG2,HEK293,0.6899600094299159
HepG2,HEK293,0.661078338510078
HepG2,HEK293,0.60890430298623
H1,HEK293,0.7421505761471667
GM12878,HEK293,0.654341104178461
HepG2,HEK293,0.6077393341190735
MCF-7,HEK293,0.6491479160346749
GM12878,HEK293,0.6219944131370683
MCF-7,HEK293,0.5860273275161552
K562,HEK293,0.6424011521736608
GM12878,HEK293,0.6296430215208078
HepG2,HEK293,0.5481430420470157
HepG2,HEK293,0.6632622897874936
K562,HEK293,0.6300253193690415
HepG2,HEK293,0.6671117941211466
HEK293,HEK293,0.235681006812183
H1,HEK293,0.6551651217680228
K562,HEK293,0.5352570133177739
HeLa-S3,HEK293,0.5670067088565631
HeLa-S3,HEK293,0.5075434990769208
HepG2,HEK293,0.3618787576484604
HepG2,HEK293,0.7032681891294079
liver,HEK293,0.6922826899115568
K562,HEK293,0.6154228990011128
MCF-7,HEK293,0.5772968391119417
HEK293,HEK293,0.2457464974641807
HepG2,HEK293,0.6733600335983412
HepG2,HEK293,0.6652089299039396
GM12878,HEK293,0.6033096391002422
K562,HEK293,0.5081787867960348
GM12878,HEK293,0.6531810362515733
K562,HEK293,0.5699309281162925
HEK293,HEK293,0.3343260465320232
MCF-7,HEK293,0.666303010044283
K562,HEK293,0.5986609267371021
HepG2,HEK293,0.6960427245417375
K562,HEK293,0.6372343173278772
HepG2,HEK293,0.7374745241031482
liver,HEK293,0.7882296801774349
K562,HEK293,0.8696458761879289
MCF-7,GM12878,0.5073854997534839
K562,GM12878,0.4484947641162109
GM12878,GM12878,0.2656239788233162
GM12878,GM12878,0.15491824234662874
K562,GM12878,0.6658153655746066
HEK293,GM12878,0.7455091454008733
K562,GM12878,0.4760015524231997
GM12878,GM12878,0.24094875090821327
HEK293,GM12878,0.6692941776145018
GM12878,GM12878,0.13727255329917143
GM12878,GM12878,0.1332236462711719
HEK293,GM12878,0.5569214270607825
HEK293,GM12878,0.8192393836227017
K562,GM12878,0.5916904195939403
K562,GM12878,0.4708664098633923
K562,GM12878,0.42138757564912926
GM12878,GM12878,0.1477934135212547
HepG2,GM12878,0.7537570774953701
GM12878,GM12878,0.22403687157203955
HEK293,GM12878,0.7217986970322496
GM12878,GM12878,0.3080795930002171
HEK293,GM12878,0.7503637080300287
MCF-7,GM12878,0.6417148016993595
HEK293,GM12878,0.8021143802545203
GM12878,GM12878,0.17507926008620694
HeLa-S3,GM12878,0.586377508742485
HepG2,GM12878,0.6574452717693664
HeLa-S3,GM12878,0.7566357426861228
HEK293,GM12878,0.6241349709504347
HepG2,GM12878,0.7671460686887939
K562,GM12878,0.6342520629951709
K562,GM12878,0.6849364129691065
K562,GM12878,0.6464133480076997
SK-N-SH,GM12878,0.8396768672135968
HEK293,GM12878,0.6689804852690002
MCF-7,GM12878,0.5260637945201219
SK-N-SH,GM12878,0.5714582371991017
H1,GM12878,0.8054660692299658
HepG2,GM12878,0.7411930091545957
HEK293,GM12878,0.5364302053189307
HEK293,GM12878,0.6304181664808426
H1,GM12878,0.7568558250170476
HepG2,GM12878,0.7799175705343431
HepG2,GM12878,0.777793087406033
MCF-7,GM12878,0.4520753921838865
GM12878,GM12878,0.2330476294145412
K562,GM12878,0.4195147934781389
K562,GM12878,0.4612552447358944
liver,GM12878,0.6471476379440853
K562,GM12878,0.48911871254354994
K562,GM12878,0.45266284679862695
HEK293,GM12878,0.5527513515334679
A549,GM12878,0.7841422548008117
K562,GM12878,0.4435924668310637
HEK293,GM12878,0.5841355895837743
MCF-7,GM12878,0.5428955176444361
K562,GM12878,0.42246707291996227
HepG2,GM12878,0.8057551983900961
K562,GM12878,0.4936916429146561
MCF-7,GM12878,0.6741243091338136
HEK293,GM12878,0.6995782891969802
K562,GM12878,0.5660909655243989
K562,GM12878,0.4388963570003505
HepG2,GM12878,0.8002768778280163
K562,GM12878,0.43937216639475635
MCF-7,GM12878,0.5922118971335806
HEK293,GM12878,0.7316391405023572
GM12878,GM12878,0.15047483638317116
H1,GM12878,0.8774583784917076
A549,GM12878,0.7838219367721586
HEK293,GM12878,0.6474776401096605
K562,GM12878,0.40671016679327027
HEK293,GM12878,0.6496782395760503
K562,GM12878,0.49279856918613046
HepG2,GM12878,0.6307433038102996
K562,GM12878,0.4879950512076184
K562,GM12878,0.45556949752678044
K562,GM12878,0.7108199017101413
H1,GM12878,0.8228780738855324
SK-N-SH,GM12878,0.7905031421751216
K562,GM12878,0.5634659734225387
HepG2,GM12878,0.7718426477282403
HepG2,GM12878,0.7818281625280203
K562,GM12878,0.39606950779189265
GM12878,GM12878,0.22596152468358727
SK-N-SH,GM12878,0.5703165701876074
HepG2,GM12878,0.7064464696502255
MCF-7,GM12878,0.609759921804861
K562,GM12878,0.5951077569873624
HEK293,GM12878,0.7020068461888804
K562,GM12878,0.4915618312866393
K562,GM12878,0.4857718997866784
HeLa-S3,GM12878,0.7324662388345176
GM12878,GM12878,0.3085164800318147
K562,GM12878,0.4449276000051364
A549,GM12878,0.8344750215599497
HepG2,GM12878,0.6805078221918484
K562,GM12878,0.4944395783689068
HepG2,GM12878,0.7720440453767503
MCF-7,GM12878,0.5404457461661896
GM12878,GM12878,0.32222981973451215
MCF-7,GM12878,0.4569867394679733
MCF-7,GM12878,0.5770890206574033
K562,GM12878,0.5114221348032681
liver,GM12878,0.809429445989416
HEK293,GM12878,0.692987372780665
GM12878,GM12878,0.3538440384454374
K562,GM12878,0.5106668065868492
K562,GM12878,0.5525775362233829
HepG2,GM12878,0.6554943633031045
K562,GM12878,0.3862727029124536
K562,GM12878,0.5123887792910939
HepG2,GM12878,0.8034464218330868
MCF-7,GM12878,0.6089882957631689
SK-N-SH,GM12878,0.7113837742494022
K562,GM12878,0.4047345059785583
HepG2,GM12878,0.7768037930503171
HEK293,GM12878,0.784365265220277
K562,GM12878,0.3319747679999615
HepG2,GM12878,0.756628365848814
HepG2,GM12878,0.7838041986757343
HepG2,GM12878,0.7763653272474356
HepG2,GM12878,0.7361412084108976
H1,GM12878,0.9198248813143322
GM12878,GM12878,0.11501541520251043
HepG2,GM12878,0.7760743651539952
MCF-7,GM12878,0.6588307020740849
GM12878,GM12878,0.2664166362197998
MCF-7,GM12878,0.5992186328373241
K562,GM12878,0.5565625066981017
